[2025-08-26 18:40:25] Row: 6, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:40:31] Row: 7, Product ID: , Old Price: 131.99, New Price: 131.99, Status: Success, Message: Price found: $131.99 (no supplier URL available)
[2025-08-26 18:40:31] Row: 13, Product ID: , Old Price: 129.99, New Price: 129.99, Status: Success, Message: Price found: $129.99 (no supplier URL available)
[2025-08-26 18:40:36] Row: 14, Product ID: , Old Price: 38.76, New Price: 38.76, Status: Success, Message: Price found: $38.76 (no supplier URL available)
[2025-08-26 18:40:39] Row: 8, Product ID: , Old Price: 119.99, New Price: 119.99, Status: Success, Message: Price found: $119.99 (no supplier URL available)
[2025-08-26 18:40:42] Row: 15, Product ID: , Old Price: 38.76, New Price: 38.76, Status: Success, Message: Price found: $38.76 (no supplier URL available)
[2025-08-26 18:40:49] Row: 5, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:40:56] Row: 6, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:41:01] Row: 7, Product ID: , Old Price: 131.99, New Price: 131.99, Status: Success, Message: Price found: $131.99 (no supplier URL available)
[2025-08-26 18:41:08] Row: 8, Product ID: , Old Price: 119.99, New Price: 119.99, Status: Success, Message: Price found: $119.99 (no supplier URL available)
[2025-08-26 18:41:59] Row: 7, Product ID: , Old Price: 131.99, New Price: 131.99, Status: Success, Message: Price found: $131.99 (no supplier URL available)
[2025-08-26 18:42:07] Row: 2, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:42:14] Row: 5, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:42:23] Row: 10, Product ID: , Old Price: 119.99, New Price: 119.99, Status: Success, Message: Price found: $119.99 (no supplier URL available)
[2025-08-26 18:42:28] Row: 11, Product ID: , Old Price: 129.99, New Price: 129.99, Status: Success, Message: Price found: $129.99 (no supplier URL available)
[2025-08-26 18:42:35] Row: 12, Product ID: , Old Price: 129.99, New Price: 129.99, Status: Success, Message: Price found: $129.99 (no supplier URL available)
[2025-08-26 18:42:41] Row: 13, Product ID: , Old Price: 129.99, New Price: 129.99, Status: Success, Message: Price found: $129.99 (no supplier URL available)
[2025-08-26 18:42:47] Row: 14, Product ID: , Old Price: 38.76, New Price: 38.76, Status: Success, Message: Price found: $38.76 (no supplier URL available)
[2025-08-26 18:42:54] Row: 15, Product ID: , Old Price: 38.76, New Price: 38.76, Status: Success, Message: Price found: $38.76 (no supplier URL available)
[2025-08-26 18:43:02] Row: 5, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:43:07] Row: 6, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:43:14] Row: 7, Product ID: , Old Price: 131.99, New Price: 131.99, Status: Success, Message: Price found: $131.99 (no supplier URL available)
[2025-08-26 18:43:20] Row: 8, Product ID: , Old Price: 119.99, New Price: 119.99, Status: Success, Message: Price found: $119.99 (no supplier URL available)
[2025-08-26 18:49:49] Row: 7, Product ID: , Old Price: 131.99, New Price: 131.99, Status: Success, Message: Price found: $131.99 (no supplier URL available)
